IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,5.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,4.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,DNK,Denmark,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,FIN,Finland,NBR,Number,,,7.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,FIN,Finland,NBR,Number,,,7.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,FIN,Finland,NBR,Number,,,0.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,FIN,Finland,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,FIN,Finland,NBR,Number,,,0.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,FRA,France,NBR,Number,,,35.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,FRA,France,NBR,Number,,,3.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,FRA,France,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,FRA,France,NBR,Number,,,5.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,FRA,France,NBR,Number,,,8.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,22.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,20.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,8.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,DEU,Germany,NBR,Number,,,6.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,23.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,22.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,3.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,6.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,,,3.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,18.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,18.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,2.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,,,3.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,,,3.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,,,1.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,,,44.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,,,4.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,,,10.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,,,14.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,,,91.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,,,5.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,,,20.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,,,22.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,,,47.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,21.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,6.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,3.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,5.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,,,0.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,,,14.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,,,1.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,,,4.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,413.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,267.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,15.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,43.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,58.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,13.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,,,36.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,,,16.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,,,3.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,,,7.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,,,8.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,,,4.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,,,0.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,,,6.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,,,6.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,,,1.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,POL,Poland,NBR,Number,,,19.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,POL,Poland,NBR,Number,,,19.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,,,20.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,,,17.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,,,2.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,,,2.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,18.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,18.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,3.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,5.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,8.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,3.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,,,5.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,39.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,2.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,1.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,9.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,1.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,,,6.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,13.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,13.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,5.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,5.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,,,5.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,19.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,18.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,9.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,0.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,4.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,13.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,9.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,0.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,,,4.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,TUR,Turkey,NBR,Number,,,39.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,TUR,Turkey,NBR,Number,,,10.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,15.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,9.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,1.0,,
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,1.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,1.0,,
CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,65.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,64.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,23.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,11.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,44.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,23.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,,,11.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,11.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,10.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,3.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,RUS,Russia,NBR,Number,,,0.0,,
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,21.0,,
TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,21.0,,
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,3.0,,
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,14.0,,
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,17.0,,
ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,3.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,,,14.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,23968.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,21020.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,555.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,198.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,588.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,,,1341.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,2950.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,2950.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,348.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,172.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,465.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,985.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,348.0,,
CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,172.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,,,465.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,1818.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,1438.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,107.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,253.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,63.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,423.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,107.0,,
CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,253.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,,,63.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,5185.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,3870.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,325.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,467.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,1107.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,325.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,,,467.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,2256.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,2256.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,412.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,284.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,212.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,,,908.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,2918.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,1139.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,101.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,33.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,28.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,162.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,101.0,,
CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,33.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,,,28.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,1240.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,920.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,88.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,31.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,78.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,197.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,88.0,,
CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,31.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,,,78.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,,,4982.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,,,132.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,,,238.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,,,421.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,4305.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,3880.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,378.0,,
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,212.0,,
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,820.0,,
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,1410.0,,
ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,378.0,,
CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,212.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,,,820.0,,
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,,,5850.0,,
TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,,,5700.0,,
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,,,64.0,,
