,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
4325,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-19,64,78.0,49.0
4326,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-20,62,78.0,45.0
4327,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-21,60,78.0,47.0
4328,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-22,59,76.0,44.0
4329,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-23,60,,43.0
4330,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-24,60,79.0,44.0
4331,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-25,63,78.0,51.0
4332,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-26,65,,51.0
4333,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-27,65,,50.0
4334,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-28,62,81.0,50.0
4335,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-29,61,80.0,45.0
4336,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-11-30,60,80.0,44.0
4337,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-01,63,80.0,47.0
4338,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-02,62,81.0,47.0
4339,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-03,62,,47.0
4340,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-04,63,,46.0
4341,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-05,64,84.0,52.0
4342,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-06,65,,53.0
4343,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-07,65,83.0,54.0
4344,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-08,64,,49.0
4345,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-09,65,,49.0
4346,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-10,65,84.0,52.0
4347,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-11,65,83.0,52.0
4348,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-12,62,78.0,
4349,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-13,58,71.0,
4350,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-14,51,69.0,
4351,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-15,52,67.0,39.0
4352,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-16,53,65.0,42.0
4353,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-17,48,65.0,40.0
4354,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-18,53,,40.0
4355,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-19,57,,39.0
4356,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-20,55,71.0,38.0
4357,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-21,57,,42.0
4358,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-22,57,78.0,42.0
4359,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-23,55,75.0,39.0
4360,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-24,58,74.0,40.0
4361,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-25,55,74.0,40.0
4362,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-26,56,72.0,40.0
4363,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-27,59,71.0,43.0
4364,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-28,53,73.0,42.0
4365,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-29,51,70.0,38.0
4366,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-30,48,65.0,38.0
4367,IN022021900,"NEW DELHI SAFDARJUN, IN",28.583,77.2,216.0,2020-12-31,51,,38.0
